Time (Gyr),Hubble Parameter in Voids,Hubble Parameter in Clusters,Total Cosmic Expansion Energy,Energy Difference (Chaotic Sensitivity)
0.0,70.0,70.0,9800.0,0.0
0.10020040080160321,70.07013558587636,70.07013558587636,9819.647802046193,3.935019776690751e-08
0.20040080160320642,70.14024300590651,70.14024300590651,9839.307377855235,1.5734440239612013e-07
0.30060120240480964,70.21029410555545,70.21029410555545,9858.970796777188,3.5379162000026554e-07
0.40080160320641284,70.28026075290592,70.28026075290592,9878.630102992896,6.283644324867055e-07
0.5010020040080161,70.35011484995597,70.35011484995597,9898.277318803992,9.806444722926244e-07
0.6012024048096193,70.4198283439029,70.4198283439029,9917.904447969502,1.4100460248300806e-06
0.7014028056112225,70.48937323840902,70.48937323840902,9937.503479087467,1.9158869690727443e-06
0.8016032064128257,70.55872160484464,70.55872160484466,9957.066389019943,2.497356035746634e-06
0.9018036072144289,70.62784559350416,70.62784559350416,9976.58514635973,3.1535219022771344e-06
1.0020040080160322,70.69671744479008,70.69671744479008,9996.051714936972,3.8833222788525745e-06
1.1022044088176353,70.76530950036111,70.76530950036111,10015.458057363798,4.685589374275878e-06
1.2024048096192386,70.83359421423953,70.83359421423953,10034.796138615095,5.559033525059931e-06
1.3026052104208417,70.90154416387335,70.90154416387335,10054.057929643368,6.502254109364003e-06
1.402805611222445,70.96913206114907,70.96913206114907,10073.235411025633,7.513739546993747e-06
1.503006012024048,71.03633076335024,71.03633076335024,10092.320576640199,8.591852747485973e-06
1.6032064128256514,71.10311328405781,71.10311328405781,10111.305437371117,9.734871127875522e-06
1.7034068136272547,71.16945280398764,71.16945280398764,10130.182024838048,1.0940959327854216e-05
1.8036072144288577,71.23532268176086,71.23532268176086,10148.942395149188,1.220818012370728e-05
1.903807615230461,71.3006964646029,71.3006964646029,10167.578632674871,1.3534488971345127e-05
2.0040080160320644,71.3655478989665,71.3655478989665,10186.082853839363,1.4917766748112626e-05
2.1042084168336674,71.42985094107517,71.42985094107517,10204.447210928436,1.635579246794805e-05
2.2044088176352705,71.493579767382,71.493579767382,10222.663895910026,1.784624510037247e-05
2.3046092184368736,71.55670878494014,71.55670878494014,10240.72514426546,1.9386739950277843e-05
2.404809619238477,71.61921264168079,71.61921264168079,10258.623238828579,2.0974799554096535e-05
2.50501002004008,71.68106623659433,71.68106623659433,10276.350513630048,2.260787005070597e-05
2.6052104208416833,71.7422447298107,71.7422447298107,10293.8993577441,2.4283333914354444e-05
2.705410821643287,71.80272355257483,71.80272355257483,10311.26221913497,2.5998495402745903e-05
2.80561122244489,71.86247841711328,71.86247841711328,10328.431608500145,2.7750607841880992e-05
2.905811623246493,71.92148532638801,71.92148532638801,10345.400103107691,2.9536844522226602e-05
3.006012024048096,71.97972058373331,71.97972058373331,10362.160350624641,3.135434781142976e-05
3.1062124248496996,72.03716080237227,72.03716080237227,10378.705072933679,3.320019277452957e-05
3.2064128256513027,72.09378291480864,72.09378291480864,10395.02706993511,3.507141809677705e-05
3.306613226452906,72.1495641820906,72.1495641820906,10411.119223331221,3.696501153171994e-05
3.4068136272545093,72.20448220294244,72.20448220294244,10426.974500390064,3.88779335480649e-05
3.5070140280561124,72.25851492276081,72.25851492276081,10442.585957685693,4.0807120967656374e-05
3.6072144288577155,72.31164064247157,72.31164064247157,10457.946744811894,4.2749461499624886e-05
3.7074148296593186,72.36383802724407,72.36383802724407,10473.05010806643,4.470184103411157e-05
